symbol,market_cap,beta,shares_out,pe_ttm,ps_ttm,pb_ttm,roe_ttm,gross_margin,oper_margin,net_margin,debt_to_equity
SAP.DE,272633872384,0.901,1164604232,38.82255,7.4706492,6.3655643,0.17028,0.73831004,0.28272,0.19406,21.093
DTE.DE,142161461248,0.438,4900429250,11.287938,1.1792347,2.403679,0.21315001,0.44708002,0.23313,0.10451,156.357
ALV.DE,137796042752,0.955,385551332,13.703987,1.263952,2.4004297,0.18179001,0.22914,0.1105,0.09363,60.95
SIE.DE,192867303424,1.073,,24.94934,2.463184,3.1913788,0.14300999,0.38599,0.1349,0.12645,85.84
BAS.DE,38387376128,1.141,892522164,100.02325,0.5926996,1.1863846,0.01475,0.25717,0.03241,0.00599,75.94
BAYN.DE,26962628608,1.003,982424082,,0.5839353,0.88781416,-0.10273,0.55024,0.09255999,-0.07402,125.99
BMW.DE,49509314560,0.931,559365912,8.754311,0.362687,0.54503006,0.06442,0.13582,0.07699,0.04201,113.192
VOW3.DE,46130835456,1.046,206205445,5.4558473,0.14228252,0.27169004,0.04915,0.16328,0.047459997,0.02786,129.24
ADS.DE,32924450816,1.151,178549084,27.729322,1.3434165,6.3365517,0.22951001,0.51216,0.0919,0.049050003,98.578
IFX.DE,44530139136,1.615,1299391231,36.073685,3.0422997,2.7683983,0.06678,0.40992,0.11447,0.04782,32.137
AAPL,3992064.779172594,,14840.39,42.5528,9.7613,61.8474,154.92,46.68,31.87,24.3,
MSFT,4029253.836247312,,7433.17,39.8808,14.4153,10.7635,32.440000000000005,68.82,45.29,36.15,
AMZN,2444931.1142241578,,10664.91,40.8556,3.6127,8.0669,23.84,49.61,11.37,10.54,
SPY,630571335680,1.0,917782016,29.011053,,1.6007175,,,,,
GLD,94848114688,0.46,260300000,,,2.1431975,,,,,
AVGO,1761300.5020796666,,4722.37,296.4316,29.1604,11.6319,27.01,67.03,37.81,31.59,
META,1887589.046030646,,2512.14,30.2443,10.548,8.0932,39.33,81.95,44.02,39.99,
NVDA,4885029.14013415,,24300,63.8475,28.164,36.5589,105.22,70.2,58.09,52.41,
GOOGL,3238341.9110002494,,12094,32.4166,8.7385,7.1475,34.31,58.94,32.68,31.12,
